Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
310fed719a68467c2ad6308c30a00efa964dcb63575468dcc6bdfb0f67fcdd13,2023-03,Dorset Police,Dorset Police,-1.986812,50.734552,On or near Fleets Lane,E01015450,Poole 012D,Investigation complete; no suspect identified
b3c3c8f618df0a05052ce9b06664f9b1a3f05b511cd8bb9b36a6f1627505b9e5,2023-03,Dorset Police,Dorset Police,-1.891817,50.721608,On or near Norwich Avenue West,E01015372,Bournemouth 023B,Investigation complete; no suspect identified
f1944b19e2d3fbbea9185bd0bc68ce5dd5fcafa229108b40aed5fe4551fa5021,2023-03,Dorset Police,Dorset Police,-1.868708,50.723158,On or near Stafford Road,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
808d85032fcbe7cad93690931a304820d5cc48de015310aff87d6daca671357a,2023-03,Dorset Police,Dorset Police,-1.863098,50.723142,On or near ,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
2f4f60928b7c9ccc5d75bd97f4f184c8746f8d55b8e569db82667bc7f290af59,2023-03,Dorset Police,Dorset Police,-1.816742,50.745722,On or near ,E01015319,Bournemouth 011D,Investigation complete; no suspect identified
e338e8d130b190efa892547dc1eb1a94bea6715f221890e987ae8b09bd3d9cb0,2023-03,Dorset Police,Dorset Police,-1.907937,50.751459,On or near Daws Place,E01015355,Bournemouth 007C,Investigation complete; no suspect identified
8316b13e9caa0c65b45f96afeca4553363a0962071bf0d5e5beff10f29af8a89,2023-03,Dorset Police,Dorset Police,-1.985458,50.714580,On or near High Street,E01032659,Poole 015F,Investigation complete; no suspect identified
45e4c644342fee9f18dae071d8db70a438fd8c88cf0cd0c7ef5eb7bda88e5254,2023-03,Dorset Police,Dorset Police,-2.437798,50.714446,On or near ,E01032644,West Dorset 009H,Investigation complete; no suspect identified
9bf550e1f4ef4572ad9bac898741958fe16d1aa1602af08d0e3821ce0688c684,2023-03,Dorset Police,Dorset Police,-1.839827,50.726062,On or near ,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
ef84d763c3bdbad99630ee2ff4f32eb726af42521bf9e81e4c5460a4f316817b,2023-03,Dorset Police,Dorset Police,-2.467929,50.711761,On or near Chetcombe Street,E01020528,West Dorset 009E,Investigation complete; no suspect identified
a803ab4c4979ecd3a215f10d6f4dd7b976496864dddee5dba354eccd269c0ada,2023-03,Dorset Police,Dorset Police,-2.470878,50.611704,On or near Wessex Road,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
75c1c9cd822b6ed30523fffe403c728d3fb1dd018ee3b656f121a0517ac361be,2023-03,Dorset Police,Dorset Police,-1.870919,50.717828,On or near Russell Cotes Road,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
